nid,title,anyo_produccion,body_value
2482,"Chiquititas, rincón de luz",2001,"Belén entra como cocinera a un orfanato regido por el Coronel, un malvado que somete a los huérfanos a toda clase de castigos. Los chicos primero desconfían de ella, pero luego se ganarán su simpatía y entre todos intentarán hacerle frente al Coronel y a Marga, su vil socia."
2484,"Vidas privadas",2001,"Narra la historia de una mujer que vuelve a Argentina desde España, por la enfermedad de su padre. Se trata de una antigua exiliada, perteneciente a una familia de alto nivel, pero que fue torturada en la Escuela de Mecánica de la Armada tras el golpe militar, hasta que las influencias de su padre lograron salvarle la vida y enviarla al exilio en España."
2486,Salsipuedes,2001,"Sebastian, un viajero europeo de 24 años llega a la argentina para conocer a su hijo de un año de edad. 
Pero la asunción de ese compromiso es demasiado para el que no esta atado a nada ni a nadie. 
Asustado por la responsabilidad huye e inicia una travesia por diferentes poblados de las Sierras 
cordobesas"
2488,"Marc, la sucia rata",2003,"Marc, un joven borderline, intenta suicidarse arrojándose a las vías del tren y lo detiene un policía que intentará convencerlo para que desista de su idea."
2490,"Ciudad de Dios",1999,"El Negro fuerza a su novia, Mabel, a prostituirse. Ella se resiste y él se ve obligado a cometer un asesinato. Esto lo une aún más, hasta que Mabel busca consuelo en "el hombre que habla de Dios", un extraño viejo que vive junto al río."
2491,"Gerente en dos ciudades",2001,"Cuenta cómo un gerente de un banco santafesino, que aparentemente lleva una vida normal junto a su esposa, en realidad tiene una amante en Paraná, además de una pésima relación con su padre, un militar retirado devenido en ejecutivo de una multinacional en Buenos Aires.<p>

El incremento excesivo de sus gastos por los lujos de su amante, y el juego, será el comienzo de un infierno de mentiras, muertes violentas y traiciones."
2495,"Papa Iván",2000,"Documental que pone en imágenes, a través de la mirada de su hija, la vida de Juan Julio Roqué, fundador de las Fuerzas Armadas Revolucionarias (FAR), miembro de la organización Montoneros, uno de los responsables del fusilamiento del Secretario General de la CGT, José Ignacio Rucci, y asesinado por la dictadura militar en 1977."
2496,"No muertos",2000,"Una mujer lleva en su vientre al hijo de un temible vampiro, pero no lo sabe. Un pordiosero, último descendiente de una familia de cazadores de vampiros, intentará convencerla para que destruya al vástago."
2498,"Los porfiados",2000,"Dos buscavidas se mezclan con un grupo comando que espera el ultimo día del siglo, atrincherados en Burzaco, utópica y energéticamente, el tan ansiado Apocalipsis."
2500,"El juego de la silla",2002,"Víctor, radicado en el extranjero, debe viajar hacia su país de origen enviado por la empresa en donde trabaja y tendrá solo un día para ir a visitar a su familia que hará lo imposible para poder homenajearlo en esa breve estadía. En ese momento, se producirán desde giros dramáticos y toques de humor hasta profundas solemnidades, dentro del tradicional y querido seno doméstico."
2501,Rosarigasinos,2001,"Treinta años pasaron desde que Alberto "Tito" Saravia y Castor entraron a la cárcel de Rosario. Treinta años estuvo esperándolos una valija llena de dinero, que escondieron bajo las aguas del río Paraná. Pero, cuando los dos salgan de prisión y vean que la valija ya no está, se perderán en una ciudad que fue de ellos y que ahora apenas reconocen."
2502,"Testigos ocultos",2001,"Federico y Majo, dos jóvenes marginales, encuentran una manera de hacer dinero: extorsionan a los que contratan los servicios de las prostitutas de Constitución. Pero una de sus víctimas, un poderoso empresario francés, se convertirá en victimario."
2503,"Taxi, un encuentro",2000,"El relato confidencial de un ladrón nos introduce en los sucesos de una noche reciente cuando él, mientras conducía por las calles de la ciudad un taxi robado, se encuentra con una adolescente herida, sobreviviente de un incidente violento."
2513,Invocación,2000,"La película reconstruye el modesto proceso de filmación de un corto de acción en Super 8 por parte de tres niños amigos, de 12 años, en la ciudad de Buenos Aires durante la primavera de 1973. A partir de ahí, se abre una reconstrucción más amplia que se inicia, argumentalmente, la noche de 24 de marzo de 1999."
2515,"El fuego y el soñador",2001,"Describe el dilema de un director frente a sus personajes y la búsqueda de un actor fetiche que termina siendo su gran amor. Como si fuera un documental, el director recuerda momentos de su vida y fragmentos de la filmación de su película. Esa película cuenta la historia de un poeta que viene del siglo XIX y contempla el dolor del siglo XX. Hay tributos a sus ancestros, especialmente a su abuela piamontesa y a sus ídolos contemporáneos: la actriz Bárbara Mugica y Luchino Visconti."
2517,"Donde cae el sol",2002,"Donde cae el Sol es una pequeña historia de amor entre un hombre de sesenta y cinco años, Enrique, de una gran vitalidad, y Clara treinta años menor. Ella es peluquera y el dueño de una disquería, en un barrio junto a una estación ferroviaria del Gran Buenos aires. En el marco de lo íntimo, los momentos se cargan de intensa felicidad. Enrique ayuda a Clara a instalar un departamento y, con el tiempo, ella le ofrece compartirlo."
2518,"Dar de nuevo",2003,"Cuatro jubilados inexpertos en el arte de la delincuencia, planifican secuestrar a un empresario para pedir rescate."
2519,"Casi ángeles",2000,"Película con cinco episodios, todos ambientados en la ciudad de La Plata."
2520,"Pescado crudo",2000,"Cinco días en la vida de distintos personajes que confluyen en la casa de una pareja."
2522,"La niña santa",2004,"En una ciudad de provincia un grupo de adolescentes místicas se preocupa por su rol en el plan divino. Un congreso de otorrinolaringología hace desembarcar a un médico prestigioso. El médico roza a Amalia, una de las adolescentes, en la calle. Quizás Dios la ha llamado para salvar de su falta a este hombre. El consolidado mundo del médico se resquebraja ante la misión sagrada de la chica. "
2533,"Noches áticas",1994,"Helga es tarotista y trabaja en una hotline. El relato de su historia da pie a la aparición de distintos personajes que pertenecen a un mundo sin demasiados valores morales. Todos intentan "salvarse" a su manera entre la mucha o la poca esperanza. Un noticiero de TV cuenta sobre una maleta repleta de dólares provenientes del "lavado" de dinero que `pertenece a un influyente empresario vinculado al Poder. El empresario le encarga a Helga sacar la maleta del país. La maleta nunca llegará a su destino y le brindará a Helga la oportunidad de iniciar una nueva vida."
2541,"Ciudad del sol",2001,"Manuela es una estudiante de 23 años que, ante el sorpresivo suicidio de su madre, decide desentrañar el misterio que la llevó a tomar tal decisión."
2542,"No dejaré que no me quieras",2002,"Dos hombres, cada uno con graves problemas con su pareja, coinciden la nochebuena en un restaurante chino. Allí pactan un plan: uno para vengarse de su amante y el otro para recuperar unos diamantes que están en poder de su ex mujer.
"
2543,"Evita capitana",2000,"Mezcla de ficción y documental, la acción se sitúa en la final del campeonato de fútbol de 1951, donde Banfield enfrentaba al entonces imponente Racing Club. Evita, como abanderada de los humildes, se pone del lado de Banfield, pero el poder está a favor de Racing."
2545,Bang-Bang,1990,"Policial apocalíptico y futurista en donde no se dice ni una palabra: un tipo que busca a la trapecista del circo Bang-bang, y en el camino se cruza con gente bastante extraña."
2547,"Suave como el terciopelo",1991,"El último día en la vida de Marilyn y su conversación con un periodista amigo."
2548,Ángeles,1992,"Un viaje de tres amigos a San Bernardo."
2550,Blus,1993,"La película narra el último día de cuatro parejas."
2551,Chamuyando,1993,"Dos hombres quieren robar un auto, pero ninguno sabe manejar."
2553,Jimidin,1995,"Documental apócrifo sobre una supuesta visita de James Dean a la Argentina para la filmación de una película en Ituzaingó."
2555,"La película del taller",1998,"Un hombre trabaja en el taller de imprenta de su mejor amigo, pero se queda sin trabajo."
2556,"Peluca y Marisita",2001,"Peluca está de novio con Marisita, una chica que ha dejado los estudios y se pasa el día mirando televisión y peleándose con su madre, quien se exaspera al verla sin expectativas de futuro. El drama de un vida sin blindaje se acentúa cuando Marisita queda embarazada. Peluca vende su preciado auto "El Blanquito" y los eventos comienzan a desencadenarse en forma imprevisible."
2557,"Oscar Alemán, vida con swing",2001,"Documental sobre el genial guitarrista de jazz."
2558,"Arregui, la noticia del día",2001,"Leopoldo Arregui es un oscuro empleado del sector de atención al público en el Archivo de Tribunales y, cuando se entera de que tiene una enfermedad terminal, comienza a replantearse su vida, pero en tono de comedia."
2560,"En la ciudad sin límites",2001,"Víctor se reúne con su familia en París para cuidar de su padre enfermo. Un día sorprende a su padre tirando las medicinas y vistiéndose a escondidas para intentar escapar de la clínica. La familia sumida en cuestiones de herencia de su imperio farmacéutico, quita importancia a estos actos; son solo producto de su "locura".  "
2571,"El gallo ciego",1972,"Cortometraje que integra la película episódica <b>La ñata contra el vidrio</b>."
2572,"Buenos días, Buenos Aires",1960,"Documental sobre la cotidianeidad en Buenos Aires"
2573,"Los anónimos",1966,"Documental filmado con cámara oculta sobre diferentes personajes comunes de la ciudad."
2574,"La primera fundación de Buenos Aires",1959,"Narración en clave humorística de la fundación de Buenos Aires llevada a cabo por Pedro de Mendoza."
2575,"Buenos Aires",1958,"Documental urbano que cuenta la desigualdad económica en Buenos Aires."
2576,"Buenos Aires en camiseta",1966,"Parodia del porteñismo."
2587,"Los presos de Bragado",1995,"Documental acerca de Pascual Vuotto, un anarquista injustamente condenado a cadena perpetua en 1930, que encabezó desde allí una larga lucha que trascendió las fronteras."
2588,"1977, casa tomada",1997,"Documental acerca de una pareja de no videntes secuestrada por la dictadura militar de 1976, que luego utilizó su casa como centro de oficiales retirados."
2589,"Devórame otra vez",1997,"Un <i>freak</i> fanático de Bela Lugosi decide contratar a una prostituta para galeantear con ella haciéndose el vampiro."
2590,"Tumbas abiertas",1997,"Un asesino a sueldo decide ocultarse en un hotel regenteado por dos misteriosos ancianos."
2591,"El Señor D",1995,"Un vampiro famélico visita una vez por mes a una joven tabernera que le sirve de alimento."
2592,"Vendado y frío",1999,"Dos jóvenes roban una momia egipcia y serán perseguidos por un egipcio asesino que quiere devolver la reliquia a su país, por una paleontóloga, por dos policías y por el fantasma de una milenaria maldición."
2593,"El retrato de Felicitas",2001,"El fantasma de una hermosa mujer se pasea por el barrio de Barracas. Un documental apócrifo que intenta desentrañar el misterio."
2594,Nocturno,2001,"La historia de un pueblo de las afueras de Buenos Aires habitado por vampiros."
2601,"Mala época",1998,"Es tiempo de elecciones legislativas en Buenos Aires. La gran ciudad es el marco de cuatro historias sobre frustaciones y decepciones. Una joven viene de la provincia a conquistar la gran ciudad pero una muerte absurda pone fin a su sueño."
2602,"Dejala correr",2001,"Diego, un repartidor de pizza, quiere conquistar a Mónica. Para eso, la invita a una cena en su casa, pero ella cae con Manuel, un "amigo". Diego intentará durante toda la noche ganarle a Manuel la carrera al corazón de Mónica, con la gran ayuda de una cámara de video que puede rebobinar los acontecimientos reales para subsanar errores."
2603,"Sabés nadar?",1997,"Un director viaja a Mar del Plata con la intención de rodar un filme. Allí conoce a personajes que influirán en él."
2604,"La borrachera del tango",1928,"En el seno de una familia burguesa de Buenos Aires, se desata un conflicto protagonizado por dos de sus hijos. Uno de ellos, un arrabalero que deambula por los cabarets de la ciudad se contrapone a la figura de su hermano, un promisorio ingeniero que es el orgullo de la familia."
2605,Destinos,1929,"En una pensión de estudiantes, se entrecruzan las vidas de un grupo de jóvenes en historias románticas y melodramáticas."
2607,"La sombra de las luces",2001,"Bingo es un director de cine que por su pasión de llevar a cabo su proyecto de largometraje tiene una hipoteca sobre su casa y ahora él y Lola su joven y hermosa mujer se están por quedar en la calle.
Recurrirá a su amigo de la infancia que es gerente del banco, el Sr. Franco"
2608,"Plaga Zombie ¡La venganza alienígena ha comenzado!",1997,"La Tierra está siendo objeto de una devastadora invasión extraterrestre que lleva como propósito la aniquilación total de la raza humana. Para esto, los alienígenas han infectado a una gran parte de la población con un virus que lentamente los transforma en zombies asesinos. Pero un luchador de catch, un jardinero y un trekker no dejarán que sus vidas sean manipuladas tan fácilmente. "
2609,"Plaga Zombie: Zona Mutante",2001,"El FBI prueba un virus alienígena en un pequeño pueblo. Pero lo que en un principio parecía un simple experimento termina por convertir a casi todos los habitantes en zombies asesinos. La única solución es aislar la zona del resto del mundo, una medida que los pocos sobrevivientes no están dispuestos a aceptar."
2610,Perrito,1999,"Es la historia de una pareja de jóvenes muy enamorados, 
que al regresar en colectivo a su casa él le entrega a ella una cajita con un regalo.
Un pequeño perrito con un cartel que dice Te Amo.
Ella lo encuentra gracioso y se pone a reir.
Esta reacción despierta una pelea acerca de los diferentes modos de ver el amor."
2611,"Todo juntos",2002,"La película basa su guión en improvisaciones y comienza en el medio de una avanzada discusión entre los integrantes de una pareja que se está separando."
2613,Valentín,2002,"En el año 1969 un chico de ocho años, criado por su abuela, fantasea con ser astronauta, como modo de escapar de los problemas familiares que lo rodean."
2614,"Perón, sinfonía del sentimiento",1999,"Documental que propone una visión romántica del movimiento peronista y que está centrado, como el título indica, en la figura de Juan Domingo Perón."
2615,"Agua de fuego",2001,"Documental sobre los cortes de ruta en Cutral-Có."
2617,"Historias de Argentina en Vivo",2001,"Trece cortos dirigidos por trece directores. En el marco del ciclo de recitales Argentina en Vivo 2, cada director armó una historia en un lugar distinto del país, usando como recurso la ficción, el documental o la mezcla de ambos géneros."
2618,"Yocavil (Los pueblos olvidados)",2001,"Documental sobre los secretos y vivencias de los herederos de la cultura diaguita-calchaquí en el valle de Yocavil."
2619,"Un dulce olor a muerte",1999,"Tras encontrar a su amante muerta en extrañas circunstancias, un impulsivo joven decide vengarla, animado por un viejo del lugar que le da una pista sobre el presunto criminal."
2620,"Che, ¿muerte de una utopía?",1997,"Con motivo del 30 aniversario de la muerte del Che Guevara, Birri viajó, cámara en mano, por varios países tras las huellas de este legendario personaje. Esta fecha es propicia para reflexionar sobre el mito y el hombre. Pero, sobre todo, es un pretexto para preguntarse sobre la vigencia y el significado de la utopía."
2621,+bien,2001,"Drama que narra la historia de tres amigos médicos que deciden tomar diferentes caminos para salir del aburrimiento."
2623,"Tobi y el libro mágico",2001,"Tobi vive con su abuelo postizo en una humilde casita, subsisten juntando cartones y gracias al especial talento del niño tocando la armónica. Un día Tobi encuentra un libro mágico el cual habla y cuenta sus historias y las materializa. Diversos personajes de realidad y fantasía van guiando a Tobi en de distintas aventuras que lo acercan a la posibilidad de cumplir su más profundo deseo, el de tener una mamá. "
2625,"El bajón baygon",2000,"Un corto que explora los bordes genéricos de la ficción + argumental + experimental"
2626,Trips,1998,"un grupo de adolescentes se reúnen para crear una especie de refugio en un mundo propio influenciados por los ideales dark de los ‘80. Todos enfrentan el conflicto que implica crecer y además han sido golpeados por muertes y suicidios."
2627,"El transcurso de las cosas",2001,"El transcurso de las cosas cuenta la historia de Gonzalo, un joven de la Argentina actual que abandona la adolescencia y se encamina hacia la vida de adulto. Su búsqueda para encontrarse a sí mismo significará enfrentarse a las dificultades, a sus miedos, a sus frustraciones, y también abandonar el mundo seguro del hogar."
2628,"El séptimo arcángel",2003,"Un hombre sin trabajo, sin mujer, sin esperanza. Una deuda que no puede ser pagada."
2629,Sangre,2003,"<i>Sangre</i> es un retrato de familia. Una madre, sus dos hijos y la sombra de su marido que murió 25 años atrás en circunstancias extrañas."
2631,"El rebaño",1997,"Historia futurista con final feliz."
2632,Chúmbale,2001,"Una historia de autoritarismo, miedos, frustraciones y amor, que gira en torno a una simple lata de pintura que desata muchos conflictos, sumiendo a los miembros de una familia de un barrio humilde de Buenos Aires en permanentes desencuentros."
2633,"El apóstol",1917,"Una sátira animada sobre el presidente Hipólito Yrigoyen."
2637,"El cumple",2002,"Segunda parte de la trilogía del rosarino Gustavo Postiglione que comenzó con "El asadito" y culminará con "La peli"."
2640,Promesa,2001,"Ella viaja a la playa, a cumplir con una promesa que hizo a su ser amado. Tiene miedo de perder lo último que tiene al cumplir con esta promesa. Pero ella descubrirá que en el cumplimiento de esa promesa no está su perdida, sino su encuentro"
2641,"Nunca asistas a este tipo de fiestas",2000,"Nunca asistas a este tipo de fiestas cuenta la historia de un militar retirado que decide pasar un fin de semana junto a su hijo en Cascallares.  Pero al poco llegar, su paz se ve interrumpida por la llegada de seis adolescentes en busca de diversión."
2685,"La vuelta al bulín",1926,"Según el historiador <a href='../personas/index.html?id=4569'>Jorge Miguel Couselo</a>, éste film -que constaba de tres actos- se exhibía durante un espectáculo unipersonal del actor <a href='../personas/index.html?id=8365'>Álvaro Escobar</a>."
2693,"Un teatro independiente",1954,"Documental acerca del movimiento llamado Nuevo Teatro."
2699,"Los cuentos del timonel",2001,"Documental sobre el intelectual Osvaldo Bayer."
2700,"Un largo silencio",1963,"Corto documental sobre el Hospital Borda."
2702,Regresados,2007,"Tres historias que transcurren en una sola noche. El punto de partida es una reunión de egresados, los personajes se reencuentran después de veinte años y todas estas historias tendrán algo en común: las segundas oportunidades."
2703,Dromo,2001,"Salvador, un cuarentón vendedor de seguros, es enviado desde Tucumán a Jujuy por un trabajo. En el camino conoce a Franka, una joven que va rumbo a Cuzco en busca de su hermano. Accidentalmente se enredan en un caso policial, pero no pueden detenerse a dar explicaciones. Si Franka no llega a Cuzco a tiempo, perderá a su hermano. Y Salvador su trabajo, si no logra concretar el negocio."
2705,"Eva Perón inmortal",1952,"Corto documental sobre <a href='http://www.cinenacional.com/persona/maria-eva-duarte'>Eva Perón</a> producido por la Secretaría de Prensa y Difusión de la Presidencia de la Nación."
2708,"La balada de Donna Helena",1995,"Un ladrón de poca monta roba autos junto a su compañero para pagar sus deudas. Cierta tarde roban el auto de una mujer especial, la encargada de raptar cuerpos y transportarlos a una especie de submundo infernal en donde las almas deben mantener sus vicios mortales para no ser arrojadas al pozo de la muerte eterna.
"
2709,"Una noche de gala en el Colón",1918,"Una versión de la obra de Bizet hecha con marionetas animadas satirizando al presidente Hipólito Yrigoyen. "
2713,"Sólo un ángel",2001,"Un hombre exitoso muere en un accidente y, después de muerto, deberá impedir que sus antiguos socios construyan una planta industrial que dañará el medio ambiente."
2714,Paisanos,1984,"Documental sobre los indios Tobas."
2719,"Frecuencia paraíso",1992,"Documental de difusión para la emisora radial LU 23, Radio Lago Argentino, de la Patagonia."
2723,"Una historia de tango",2000,"En los arrabales de Buenos Aires, un escritor y su amigo de New York, descubren el tango no apto para turistas. Allí los deslumbra la voz de un cantor, Rubén "El Chino" Raigal, al que deciden saludar en su camarín. Pero al visitarlo se llevan una gran sorpresa al conocer su verdadera identidad."
2726,"Nadar solo",2003,"Un chico de diecisiete años viaja a Mar del Plata para buscar a su hermano mayor."
2730,Matanza,2001,"Documental centrado en una familia de La Matanza que forma parte de un grupo de desocupados que luchan por sus derechos."
2733,Deseo,2002,"Una historia de amor ambientada en la 2ª Guerra Mundial.<br>
En una ciudad todavía agujereada por la guerra, Elvira intenta reconstruir su pasado y sus sentimientos mientras su marido, sale de la cárcel donde cumple condena por motivos políticos. Los antiguos porteros de la casa donde vivía con sus padres, le consiguen un trabajo como asistenta de un empresario argentino de origen alemán."
2734,"La muerte y la brújula",2000,"La historia relata una de las investigaciones más complicadas del detective Erik Lönnrot frente a una serie de misteriosos crímenes que tienen lugar en una ciudad agobiada por el calor y convulsionada por los festejos del carnaval."
2735,30/30,2001,"La acción trancurre en el año 1894 cuando un bandolero misterioso llega a un tranquilo pueblo de la patagonia y comienzan los disturbios."
2736,"La cautiva",2001,"Una mujer y su hijo son raptados por una banda de delincuentes, luego de un intenso tiroteo. Huyendo de la policía, y del marido  de esta mujer, se esconden en otra casa familiar, quedando todos a merced de los delincuentes. 
"
2737,"Rapsodia gaucha",1932,"Intentó ser la primera película con el sonido grabado en la cinta -hasta ese momento se utilizaba el sistema Vitaphone-, pero el experimento no funcionó y los diálogos no se entendían. Por ese motivo, no se estrenó nunca."
2738,Sombras,1930,"Se trata del primer largometraje argentino en 16mm."
2739,"La cruz del sur",2002,"Los últimos días en la vida de tres jóvenes marginales, que se rebelan contra su destino trágico en la costa atlántica argentina. "
2743,"Un día de filmación",1985,"Corto sobre el rodaje de la película <a href='../peliculas/index.html?id=178'>Bairoletto</a>."
2754,"Argentina de fiesta",1950,"Documental sobre la llegada a nuestro país del presidente chileno Ibáñez del Campo."
2758,"El buque embotellado",1939,"Filmada en 16 mm."
2760,"Un día en el paraíso",2003,"Un dibujante y pintor que no logra destacarse y se gana la vida, entre otras cosas, como fotógrafo de revistas de actualidad y una bella joven que llega a Buenos Aires desde el interior del país, para intentar triunfar como modelo y actriz, viven un amor tan apasionado como plagado de desencuentros."
2761,"El fondo del mar",2003,"Un hombre demasiado celoso decide seguir y espiar al amante de su mujer durante toda una noche."
2762,"Los suicidas",2005,"Daniel es un periodista al que le encargan un artículo a partir de la fotografía de un presunto suicida. Al iniciar la investigación, conoce a Marcela, la enigmática fotógrafa que le asignan como compañera, con la que no ha mantenido antes ninguna relación y de la que comienza lentamente a enamorarse."
2763,"Ana y los otros",2003,"Ana viaja a Paraná, su ciudad natal, después de varios años de ausencia. Al llegar compra el diario local y encuentra una foto sacada por un  novio de su adolescencia. A partir de ese momento comienza a buscarlo."
2767,"Diversos porvenires",2001,"Dos jóvenes se encuentran en algún espacio y en algún tiempo."
2771,"Chiche bombón",2004,"Chiche, una hermosa e inmadura mujer de 27, queda embarazada de Marianito, su vecino, un adolescente de 18. Esto motiva que los padres de él, abochornados por la situación, lo echen de su casa. Chiche y Marianito en busca de su intimidad e independencia se enfrentan a diario con una sociedad hostil, que se desempeña dentro del orden de selección natural. Ellos trataran de sobreponerse a todo al resguardo de su amor, pero su búsqueda no encuentra salida."
2772,"Momentos de estación",2001,"Ana trabaja en la boletería de una estación de trenes, dónde nunca sucede nada. Pero un día, ella deberá tomar una decisión que podría cambiar su vida."
2773,"Corazón de fuego",2002,"Tres ferroviarrios secuestran una locomotora para intentar retrasar que su venta a un estudio de cine se concrete.
"
2774,"El vestido de terciopelo",2001,"Una modista debe cumplir con el encargo de una mujer adinerada que pretende que el trabajo se termine en tres días.
"
2775,Kamchatka,2002,"Una familia se esconde en una quinta durante la dictadura militar."
2776,"Lesbianas de Buenos Aires",2002,"Un documental que cuenta la vida de las lesbianas de Buenos Aires pero se centra en tres historias. La protagonista es una ex militante que dedica ahora su vida al fútbol femenino. La otra historia es acerca de una joven que milita para que ninguna chica tenga que sufrir lo que ella sufrió y la tercera línea del film la lleva adelante una madre lesbiana, que cuenta lo hostiles que son las leyes con respecto a los derechos de las mujeres lesbianas."
2785,"Barbie también puede eStar triste",2001,"Melodrama de animación pornográfico, protagonizado por el símbolo de la belleza y la feminidad en la cultura occidental: La muñeca Barbie. Ella se siente insatisfecha y genera una peculiar relación con su mucama, la muñeca latina de la colección. En el paralelo, Ken es un sádico follador de secretarias masoquistas, todo esto acompañado de tiernos personajes en triángulos, cuadrángulos y heptángulos sexuales como sólo Barbie podía lograr."
2786,"La prueba",1999,"Mao, una chica urbana de Buenos Aires, se enamora a primera vista de Marcia. Junto a Lenin, su compañera inseparable, hará lo imposible para probar su amor hasta que consiga realizar <i>La Prueba</i>. Este corto fue el origen del primer largometraje de Lerman: <a href='../peliculas/index.html?id=3007'>Tan de repente</a>."
2787,Tanática,2001,"Un hombre juega con su imaginación, pero la realidad se torna mas brutal y menos sensual que sus deseos."
2790,"Historia de amor en un baño público",2001,"Joven de la calle se enamora de un drogadicto y mantiene relaciones sexuales con él para conseguir drogas. La policia surge para romper este vínculo criminal."
2791,"Con vos contar corderitos",2000,"Una pareja en crisis decide replantear su situación durante una noche de insomnio."
2792,Clarilandia,2002,"Clara siente que la relación con su novio no funciona y decide dejarlo. Es ahí cuando conoce a Amparo una chica que le provoca una atracción especial."
2794,0800,1999,"Desencuentros amorosos en una serie de historias paralelas."
2795,"Mi noche triste",1997,"Luego de ser abandonado por su novio drag, el protagonista se interna en el libertinaje para consolar su corazón herido, sólo consigue empeorar las cosas y termina en el infierno, tarareando La Balsa."
2796,Positivo,1999,"Documental experimental acerca de cómo dos jóvenes ven, aquí y ahora, uno de los temas más actuales y controvertidos referidos a su sexualidad, el HIV. Casi a modo de una dialéctica, dos visiones diferentes se contraponen, para generar en el espectador una tercera posición, llena de preguntas, en busca de una respuesta."
2797,"Historias mínimas",2002,"Tres personajes emprenden un corto viaje por una ruta patagónica y sus historias se entrecruzarán azarosamente."
2800,Calabozo,1997,"Una chica se busca a sí misma."
2801,"Attack of the killer hog",2002,"En una caótica ciudad llamada Kimanga City, cubierta de  una enrarecida atmósfera psicodélica producto de una  nueva droga, comienzan a sucederse crímenes salvajes aparentemente bajo las garras de una paranormal criatura. Dos detectives descenderán a los infiernos psicológicos de la siniestra urbe para tratar de dar con la verdad más creíble."
2802,Rockabilly,2000,"Un joven quiere levantarse a una chica y en el camino descubre que lo que quería era otra cosa."
2803,Visita,2001,"En una vieja casona, venida a menos y suspendida en el tiempo, conviven una anciana, su viejo marido un estrafalario personaje que funciona como hijo adoptivo. 
En ese mundo, irrumpe una extraña visita: un joven del que nunca se sabrá el nombre."
2807,"Sin intervalo",2002,"Una estrella de cine retirada decide un día, sin explicar el motivo, reunir a su familia, con la cual no mantiene una estrecha relación. Ésta película experimental fue realizada mediante ejercicios de improvisación de los actores, que siguieron la pauta de sus respectivos personajes proporcionada por la directora."
2809,"El amigo",1960,"Un chico lustrabotas en una kermesse se hace amigo de un nene bien que está paseando con su padre."
2811,"La loba",1919,"Film aparentemente perdido que, según dice el historiador Roberto Di Chiara en su libro <i>El cine mudo argentino</i>, "podemos aventurar hipótesis acerca de la desaparición de esta cinta basadas en el mal cuidado que sufrían los films por aquel entonces, sumado a los constantes incendios que ocurrían en las cinematecas debido a la combustión del nitrato de plata de las cintas. También pudo ser la propia decisión de <a href='../personas/index.html?id=1813'>Gardel</a> que, insatisfecho por el film, podría haberlo mandado a sacar de circulación"."
2814,"El Conde Orsini",1917,"Según el historiador Roberto Di Chiara, éste film sería el primer policial argentino."
2815,"Juan Sin Ropa",1919,"Reflejaba las luchas obreras que habían estallado en Buenos Aires en "la semana trágica" de enero de 1919."
2819,"El azúcar",1926,"Documental sobre la elaboración del azúcar en la Argentina y los Estados Unidos."
2822,"La niña del bosque",1917,"Según el historiador Roberto Di Chiara, este film sería el primero dedicado a un público infantil."
2825,"El pañuelo de Clarita",1917,"Una niña consuela a un hombre que llora angustiado por el  hambre, secándole las lágrimas con su pañuelito."
2833,"Buenos Aires, crónicas villeras",1986,"Documental sobre la expulsión de más de 250 mil villeros de la Capital Federal durante la última dictadura militar."
2834,"Cuarteto Cedrón en concierto",1993,"Concierto en Buenos Aires del Cuarteto Cedrón."
2837,"Japón a través de los mares",0,"Documental sobre los inmigrantes japoneses en la Argentina."
2838,"La deuda",1992,"Documental sobre la relación entre la deuda externa y las falencias económicas del país."
2839,"La Semana Trágica",0,"Recopilación de imágenes sobre los trágicos sucesos durante las huelgas en la Patagonia."
2840,"La voz de los pañuelos",1992,"Documental sobre las Madres de Plaza de Mayo."
2842,"Last journey in Rapa Nui",2001,"Buscando una nota, un periodista llega a un islote del Pacífico siguiendo los pasos de un hombre que investigó aquello cuarenta años antes. Allí accede a una nueva realidad."
2843,"Los paseos con Borges",1977,"Borges pasea por la ciudad de Buenos Aires mientras charla sobre literatura."
2844,"Los Totos",1983,"Asistentes sociales y maestros analizan los conflictos de los niños que viven en villas miseria."
2847,"Me matan si no trabajo y si trabajo me matan - La huelga obrera en la fábrica INSUD",1974,"Documental sobre la situación de los obreros metalúrgicos, que a causa del plomo y las malas condiciones de trabajo, enfermaban y morían de saturnismo. Una de las últimas apariciones públicas del diputado Rodolfo Ortega Peña, asesinado por las fuerzas paramilitares (AAA), días después de terminado este film."
2848,"Mi hijo el Che",1985,"Larga entrevista con el padre del Che Guevara."
2849,"Ni olvido ni perdón: 1972, la masacre de Trelew",1973,"Documental sobre el asesinato de un grupo de presos políticos en la cárcel de Trelew."
2850,Oasis,1994,"Documental sobre el paso del escritor y aviador francés Antoine de Saint-Exupery por la Argentina."
2855,"Surcos en la tierra",1992,"Esta es la historia de los olvidados, de los que han perdido la tierra, el trabajo, la palabra, la libertad o la vida. Por estas imágenes desfilan indígenas, ferroviarios, mineros, prostitutas."
2856,"Comunicado Cinematografico del ERP Nº 5 y 7: Swift",1971,"Crónica del secuestro y liberación del cónsul inglés en Rosario, representante del frigorífico Swift."
2860,"Vacaciones en la tierra",2001,"Un joven decide conquistalra y debe sortear los obstáculos de un novio extraños y una familia muy peculiar."
2861,Apasionados,2002,"Un triángulo amoroso en que la mejor amiga de la protagonista le pide prestado el novio para tener un bebé."
